variant,rank,alpha,target_scope,use_dora,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity,notes
base,,,base_model,False,0,,,1.9402613043785095,6.960569560327233,reference_only
r16,16.0,32.0,qv_only,False,3686400,5.474724706013998,7.867390976,1.5087809562683105,4.5212158736620855,core_lab_baseline
r8,8.0,16.0,qv_only,False,1843200,5.41922793785731,8.471030784,1.556760311126709,4.743429091257299,qv_only
r64,64.0,128.0,qv_only,False,14745600,5.43491348028183,9.248115712,1.4461073875427246,4.246552118908658,qv_only
r16_all_layers,16.0,32.0,all_layers,False,29933568,6.3322967449824015,10.00345088,1.4532673358917236,4.277066322443232,all_layers
